pageTitle, pageURL, loadtime, domLoadTimeStamp
Log In,https://dev-uswm.mercury.software/Account/Login,304,1607503646343
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,1329,1607503648117
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,1329,1607503648117
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,1329,1607503648117
Log In,https://dev-uswm.mercury.software/Account/Login,389,1607503712101
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,768,1607503713495
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,768,1607503713495
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,768,1607503713495
Log In,https://dev-uswm.mercury.software/Account/Login,556,1607526793437
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,1312,1607526795210
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,1312,1607526795210
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,1312,1607526795210
Log In,https://dev-uswm.mercury.software/Account/Login,321,1607526859818
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,1089,1607526861371
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,1089,1607526861371
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,1089,1607526861371
Log In,https://dev-uswm.mercury.software/Account/Login?ReturnUrl=%2F,427,1607528919127
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,2915,1607528922530
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,2915,1607528922530
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/home,2915,1607528922530
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/search/job/1337124?workspace=1,2915,1607528922530
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/search/job/1337124?workspace=1,2915,1607528922530
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/search/job/1337124?manageResources=true&workspace=1,657,1607528958227
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/search/job/1337124?manageResources=true&workspace=1,657,1607528958227
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/search/job/1337124?manageResources=true&workspace=1,367,1607528965117
Mercury Helpdesk,https://dev-uswm.mercury.software/Helpdesk#!/search/job/1337124?manageResources=true&workspace=1,367,1607528965117
